ID,Name,Email,Billing,Location
1,XXXX XXXXX,XXXX@XXXX.XXX,XXXXX,New York
2,XXXXX XXXXXXXX XXXXX,XXXXX@XXXXXXXXX.XXX,XXXXX,Washington
3,XXXX XXXXXXX,XXXXXXXXX@XXXXXXXX.XXX,,Seattle
4,XXXXX XXXXXX,XXXXXXX@XXXXXX.XXX,4850.0675,Boston
5,XXXXXX XXXXXXX,XX@XXXXX.XXX,26550.0,Dallas
6,XXXXX XXXXXX,XXXXXXX@XXXXXX.XXX,4850.0675,Boston
7,XXXXX XXXXXX,XXXXXXX@XXXXXX.XXX,4850.0675,Boston
8,XXXXXX XXXXXXX,XX@XXXXX.XXX,26550.0,Dallas
9,XXXXXXXXXXXXXXXXXXX XXX XXXXXX,XXX@XXXXX.XXX,XXXXX,Istanbul
10,XX@XXX@XXXXXXXXXXXXXXX@XXXXXX,,,
